max-process;rank;max-size-sequence;max-size-constraint;max-number-constraint;max-fragmentation;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;ssclcs;
9;0;0;0;0;0;0.455452;0.095771;0.334418;0.025262;21.027794;73.425622;5.546584;0;0;0.000000;0;
9;0;0;0;0;0;0.451648;0.099909;0.326802;0.024936;22.121008;72.357845;5.521146;0;0;0.000000;0;
9;0;0;0;0;0;0.453890;0.098827;0.329350;0.025713;21.773376;72.561553;5.665071;0;0;0.000000;0;
9;0;0;0;0;0;0.472508;0.102901;0.344568;0.025039;21.777602;72.923174;5.299224;0;0;0.000000;0;
4;1;512;32;8;0;0.477469;0.105502;0.331647;0.040320;22.096021;69.459353;8.444626;0;0;0.000000;0;
4;1;512;32;8;0;0.454999;0.097085;0.332764;0.025150;21.337437;73.135147;5.527417;0;0;0.000000;0;
4;1;512;32;8;0;0.461034;0.109770;0.326024;0.025240;23.809542;70.715885;5.474573;0;0;0.000000;0;
4;1;512;32;8;0;0.452387;0.097876;0.329423;0.025088;21.635437;72.818853;5.545709;0;0;0.000000;0;
4;1;512;32;8;0;0.441836;0.099137;0.317556;0.025143;22.437491;71.872015;5.690494;0;0;0.000000;0;
4;1;512;32;8;0;0.437001;0.100307;0.311911;0.024783;22.953540;71.375370;5.671090;0;0;0.000000;0;
4;1;512;32;8;0;0.441579;0.103435;0.313443;0.024701;23.423876;70.982389;5.593735;0;0;0.000000;0;
4;1;512;32;8;0;0.444937;0.097024;0.322726;0.025187;21.806193;72.532973;5.660834;0;0;0.000000;0;
4;1;512;32;8;0;0.438253;0.098112;0.314376;0.025765;22.386947;71.733960;5.879092;0;0;0.000000;0;
4;1;512;32;8;0;0.640132;0.148401;0.466391;0.025339;23.182906;72.858674;3.958420;0;0;0.000000;0;
4;1;512;32;8;0;0.438952;0.099688;0.314147;0.025118;22.710363;71.567477;5.722159;0;0;0.000000;0;
4;1;512;32;8;0;0.449019;0.098287;0.318287;0.032445;21.889265;70.884921;7.225814;0;0;0.000000;0;
4;1;512;32;8;0;0.441882;0.098774;0.317961;0.025147;22.353024;71.956143;5.690834;0;0;0.000000;0;
4;1;512;32;8;0;0.441484;0.104575;0.311549;0.025360;23.687200;70.568530;5.744270;0;0;0.000000;0;
4;1;512;32;8;0;0.437415;0.097710;0.314568;0.025137;22.338107;71.915140;5.746753;0;0;0.000000;0;
4;1;512;32;8;0;0.434977;0.098828;0.311086;0.025063;22.720400;71.517763;5.761837;0;0;0.000000;0;
