max-process;rank;max-size-sequence;max-size-constraint;max-number-constraint;max-fragmentation;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;ssclcs;
9;0;0;0;0;0;0.455450;0.103294;0.352033;0.000124;22.679480;77.293387;0.027133;0;0;0.000000;221;
9;0;0;0;0;0;0.451644;0.103817;0.347711;0.000116;22.986474;76.987742;0.025784;0;0;0.000000;221;
9;0;0;0;0;0;0.453888;0.103987;0.349779;0.000121;22.910324;77.062983;0.026693;0;0;0.000000;221;
9;0;0;0;0;0;0.472502;0.102643;0.369745;0.000114;21.723308;78.252573;0.024119;0;0;0.000000;221;
4;3;512;32;8;0;0.477489;0.120171;0.357179;0.000138;25.167249;74.803752;0.028999;0;0;0.000000;221;
4;3;512;32;8;0;0.455002;0.107279;0.347596;0.000126;23.577777;76.394426;0.027797;0;0;0.000000;221;
4;3;512;32;8;0;0.461031;0.103018;0.357896;0.000117;22.345062;77.629545;0.025394;0;0;0.000000;221;
4;3;512;32;8;0;0.452387;0.103238;0.349030;0.000118;22.820829;77.153031;0.026139;0;0;0.000000;221;
4;3;512;32;8;0;0.441830;0.103181;0.338526;0.000124;23.353053;76.618965;0.027982;0;0;0.000000;221;
4;3;512;32;8;0;0.436992;0.102979;0.333913;0.000099;23.565418;76.411834;0.022748;0;0;0.000000;221;
4;3;512;32;8;0;0.441572;0.102855;0.338615;0.000103;23.292797;76.683898;0.023305;0;0;0.000000;221;
4;3;512;32;8;0;0.444933;0.112243;0.332578;0.000112;25.226859;74.747908;0.025234;0;0;0.000000;221;
4;3;512;32;8;0;0.438251;0.106582;0.331560;0.000109;24.319879;75.655225;0.024896;0;0;0.000000;221;
4;3;512;32;8;0;0.640159;0.142561;0.497430;0.000168;22.269625;77.704075;0.026300;0;0;0.000000;221;
4;3;512;32;8;0;0.438950;0.106426;0.332405;0.000119;24.245499;75.727472;0.027029;0;0;0.000000;221;
4;3;512;32;8;0;0.449015;0.112762;0.336135;0.000117;25.113236;74.860622;0.026142;0;0;0.000000;221;
4;3;512;32;8;0;0.441879;0.107765;0.334000;0.000114;24.387916;75.586305;0.025780;0;0;0.000000;221;
4;3;512;32;8;0;0.441475;0.104606;0.336765;0.000103;23.694723;76.281886;0.023391;0;0;0.000000;221;
4;3;512;32;8;0;0.437418;0.104594;0.332705;0.000119;23.911674;76.061154;0.027172;0;0;0.000000;221;
4;3;512;32;8;0;0.434971;0.103066;0.331735;0.000169;23.694934;76.266109;0.038957;0;0;0.000000;221;
